Qiymet,Kategoriya,Mertebe,Otaq,Kupca,Seher
140 000,Yeni tikili,5 / 14,3,var,"Bakı şəhəri, Əsəd Əhmədov küçəsi"
168 000,Yeni tikili,2 / 18,3,var,"Bakı şəhəri, Mirzə Cabbar Məmmədzadə küç 77"
340 000,Yeni tikili,9 / 16,3,var,"Bakı şəhəri, Səməd Vurğun küç.110"
85 000,Yeni tikili,4 / 8,2,var,"Bakı şəhəri, Yeni Bakı Yaşayış kompleksi, Bina 5B, mənzil 38"
182 000,Yeni tikili,8 / 20,3,yoxdur,"Bakı şəhəri, Əcəmi Naxçıvani küçəsi"
188 000,Yeni tikili,8 / 18,4,var,"Bakı şəhəri, Əsəd Əhmədov küçəsi "
170 000,Yeni tikili,15 / 17,3,var,"Bakı şəhəri, Şərifzadə küç."
239 000,Yeni tikili,11 / 16,3,var,"Bakı şəhəri, M.Həsənoğlu küç."
330 000,Yeni tikili,2 / 16,4,var,"Bakı şəhəri, Faiq Yusifov küçəsi"
849 900,Yeni tikili,11 / 17,4,var,"Bakı şəhəri, Taleh Şıxəlıyev küç"
100 000,Köhnə tikili,4 / 5,4,yoxdur,"Bakı şəhəri, Zığ şossesi "
88 000,Yeni tikili,2 / 12,2,var,"Bakı şəhəri, Əsəd Əhmədov küçəsi, 41c"
62 500,Yeni tikili,17 / 17,3,var,"Bakı şəhəri, Məhəmməd Hadi küçəsi"
225 000,Yeni tikili,5 / 18,3,var,"Bakı şəhəri, Ənvər Hüseynov küç. 12"
225 000,Yeni tikili,10 / 20,3,var,"Bakı şəhəri, Səməd Vurğun küç"
134 900,Yeni tikili,17 / 19,2,yoxdur,"Bakı şəhəri, Gəncə pr."
168 000,Yeni tikili,18 / 19,3,var,"Bakı şəhəri, E. Süleymanov küç."
110 000,Yeni tikili,19 / 21,3,yoxdur,"Bakı şəhəri, Moskva pr."
123 000,Yeni tikili,17 / 19,2,var,"Bakı şəhəri, Əliyar Əliyev küçəsi "
142 063,Yeni tikili,3 / 16,3,yoxdur,"Bakı şəhəri,  H.Ağayev küç"
115 000,Köhnə tikili,4 / 9,3,var,"Bakı şəhəri, Qaçaq Nəbi küç."
580 000,Yeni tikili,14 / 15,6,var,"Bakı şəhəri, Mirəli Qaşqay küç."
75 000,Yeni tikili,13 / 16,3,var,"Xırdalan şəhəri, Qalibiyyə küçəsi 54  "
182 000,Yeni tikili,4 / 15,2,yoxdur,"Bakı şəhəri, Ağa Nemetulla küçəsi"
250 000,Yeni tikili,16 / 17,3,var,"Bakı şəhəri, Həsən bəy Zərdabi küçəsi"
66 000,Yeni tikili,3 / 7,2,var,"Bakı şəhəri, Əliağa Vahid küç. 12"
132 000,Yeni tikili,10 / 17,2,var,"Bakı şəhəri, Mir Cəlal küçəsi 22"
115 000,Yeni tikili,8 / 17,2,var,"Bakı şəhəri, Qarabag Kucesi"
120 000,Köhnə tikili,7 / 9,4,var,"Bakı şəhəri, Dadaş Bünyadzadə küç."
155 000,Yeni tikili,4 / 20,2,yoxdur,"Bakı şəhəri, Natiq Əliyev küç.44"
200 000,Yeni tikili,10 / 11,3,var,"Bakı şəhəri, Sabit Orucov küç."
200 000,Yeni tikili,12 / 15,3,var,"Bakı şəhəri, Akim Abasov küçəsi 57"
129 000,Yeni tikili,6 / 16,2,var,"Bakı şəhəri, Qarabağ küç."
245 000,Yeni tikili,20 / 23,3,var,"Bakı şəhəri, Həsən bəy Zərdabi küç"
107 000,Köhnə tikili,2 / 4,1,var,"Bakı şəhəri, Üzeyir Hacıbəyov küç."
672 000,Yeni tikili,5 / 9,3,var,"Bakı şəhəri, Bülbül pr."
155 000,Yeni tikili,3 / 17,3,yoxdur,"Bakı şəhəri, 8 Noyabr pr."
73 000,Köhnə tikili,5 / 9,2,var,"Bakı şəhəri, Oqtay Şabanov küç."
110 000,Köhnə tikili,4 / 9,3,var,"Bakı şəhəri, F.Ələkbərov küçəsi"
127 000,Köhnə tikili,9 / 9,4,var,"Bakı şəhəri, Mir Cəlal küçəsi 131"
182 000,Yeni tikili,5 / 17,3,var,"Bakı şəhəri, Həsən Əliyev küç ."
80 000,Yeni tikili,5 / 7,2,yoxdur,"Xırdalan şəhəri, Heydər Əliyev prospekti "
88 000,Köhnə tikili,3 / 5,2,var,"Bakı şəhəri, Cəlil Məmmədquluzadə küç"
255 000,Yeni tikili,14 / 16,3,var,"Bakı şəhəri, Süleyman Vəzirov küç. "
385 200,Yeni tikili,4 / 19,4,yoxdur,"Bakı şəhəri, Şərq küç"
117 000,Köhnə tikili,6 / 9,3,var,"Bakı şəhəri, Ilqar Zülfüqarov küç. "
169 900,Yeni tikili,4 / 19,3,yoxdur,"Bakı şəhəri, Gəncə prospekti"
149 000,Köhnə tikili,4 / 4,2,var,"Bakı şəhəri, Heydər Əliyev prospekti "
106 000,Yeni tikili,6 / 18,2,var,"Bakı şəhəri, Abay Kunambayev küç"
119 000,Köhnə tikili,4 / 9,4,var,"Bakı şəhəri, Y.Eyvazov küç"
150 000,Yeni tikili,1 / 11,3,var,"Bakı şəhəri, Mir Cəlal küçəsi"
140 000,Yeni tikili,5 / 17,3,var,"Bakı şəhəri, Məhəmməd Hadi küç. 68 "
48 000,Yeni tikili,3 / 5,3,yoxdur,"Bakı şəhəri, Binəqədi şossesi 69"
92 000,Yeni tikili,5 / 6,3,var,"Bakı şəhəri, İstiqlaliyyət küçəsi"
207 000,Yeni tikili,7 / 27,3,var,"Bakı şəhəri, Tbilisi pr."
87 500,Yeni tikili,14 / 14,3,var,"Bakı şəhəri, Yavər Əliyev 1.  Bina 2"
110 000,Yeni tikili,15 / 18,3,yoxdur,"Bakı şəhəri, Əsəd Əhmədov küç "
121 000,Köhnə tikili,2 / 5,2,var,"Bakı şəhəri, Ş.Mehdiyev küç."
175 000,Köhnə tikili,5 / 5,4,var,"Bakı şəhəri, Faiq Yusibov küç"
129 000,Köhnə tikili,5 / 5,3,var,"Bakı şəhəri, Mireli Qaşqay küç"
124 000,Köhnə tikili,7 / 9,3,var,"Bakı şəhəri, Süleyman Sani Axundov küç"
140 000,Yeni tikili,12 / 18,2,yoxdur,"Bakı şəhəri, Sabit Orucov küç"
79 000,Yeni tikili,8 / 12,1,var,"Bakı şəhəri, Rafiq İsgəndərov küç."
115 000,Köhnə tikili,2 / 9,3,var,"Bakı şəhəri, Sarayevo küçəsi , mənzil 5"
599 999,Yeni tikili,10 / 20,5,var,"Bakı şəhəri, Nərimanov prospekti"
65 000,Yeni tikili,9 / 13,2,yoxdur,"Xırdalan şəhəri, N.Gəncəvi küçəsi"
110 000,Köhnə tikili,4 / 9,3,var,"Bakı şəhəri, Azadlıq pr."
325 000,Yeni tikili,12 / 17,4,var,"Bakı şəhəri, Qara Qarayev 125a "
390 000,Yeni tikili,10 / 17,4,var,"Bakı şəhəri, Xan Şuşinski küçəsi"
58 000,Yeni tikili,5 / 11,2,var,"Bakı şəhəri, Abşeron Gənclər şəhərciyi   bina 29"
320 000,Yeni tikili,12 / 15,4,var,"Bakı şəhəri, Səfərəliyev küç. Ev 25"
130 000,Köhnə tikili,3 / 5,3,var,"Bakı şəhəri, пр.Тбилиси 7"
220 000,Yeni tikili,6 / 17,4,var,"Bakı şəhəri, Qara Qarayev pr."
95 000,Köhnə tikili,5 / 5,3,yoxdur,"Bakı şəhəri, Cavadxan küçəsi"
63 600,Yeni tikili,10 / 16,1,yoxdur,"Bakı şəhəri, Özbəkistan küç. "
80 000,Köhnə tikili,3 / 5,3,var,"Bakı şəhəri, 20 yanvar küç"
220 000,Yeni tikili,6 / 16,3,var,"Bakı şəhəri, Fətəli Xan Xoyski küçəsi"
115 000,Yeni tikili,11 / 16,2,yoxdur,"Bakı şəhəri,  H.Əliyev prospekti"
75 000,Köhnə tikili,3 / 5,1,var,"Bakı şəhəri, Tağı Şahbazi küç."
95 000,Yeni tikili,8 / 17,2,var,"Bakı şəhəri, Şərifzadə küç 5"
400 000,Köhnə tikili,5 / 5,4,var,"Bakı şəhəri,  Adil İskəndərov 4(3/5)"
280 000,Yeni tikili,4 / 16,4,yoxdur,"Bakı şəhəri, Əlizadə Əşrəfov küç"
224 000,Yeni tikili,12 / 18,4,yoxdur,"Bakı şəhəri, Süleyman Rüstəm küç."
270 000,Yeni tikili,15 / 18,4,var,"Bakı şəhəri, Azadlıq pr."
240 000,Yeni tikili,14 / 20,2,yoxdur,"Bakı şəhəri, Həsən Salmani küç. "
45 000,Yeni tikili,9 / 9,3,yoxdur,"Bakı şəhəri, İstiqlaliyyət küçəsi 23 b"
158 000,Yeni tikili,16 / 16,3,yoxdur,"Bakı şəhəri, 20 yanvar küçəsi"
72 000,Köhnə tikili,1 / 4,2,var,"Bakı şəhəri, Şərifzadə küçəsi"
62 500,Yeni tikili,3 / 6,2,yoxdur,"Xırdalan şəhəri, Qalubiyyə küç. 23"
25 000,Yeni tikili,7 / 8,2,yoxdur,"Bakı şəhəri, Zabrat dairəsi "
70 000,Köhnə tikili,4 / 5,3,var,"Bakı şəhəri, Əli Əliyev küç.  "
105 000,Köhnə tikili,5 / 9,2,var,"Bakı şəhəri, Cəfər Xəndan 30"
95 000,Yeni tikili,10 / 12,2,var,"Bakı şəhəri, Dadaş Bünyatzadə küçəsi"
69 000,Köhnə tikili,5 / 9,2,var,"Bakı şəhəri, Əsəd Əhmədov küçəsi"
90 000,Köhnə tikili,1 / 5,3,var,"Bakı şəhəri, Cavadxan küç."
188 000,Yeni tikili,17 / 21,3,var,"Bakı şəhəri, Moskva pr."
222 000,Yeni tikili,11 / 18,3,var,"Bakı şəhəri, Q. Quluyev küç"
250 000,Yeni tikili,6 / 18,3,var,"Bakı şəhəri, Ənvər Hüseyinov küç"
78 000,Köhnə tikili,1 / 5,2,var,"Bakı şəhəri, Hüseyn Seyidzadə küçəsi"
135 000,Yeni tikili,11 / 17,3,var,"Bakı şəhəri, Məhəmməd Hadı 68 "
33 000,Yeni tikili,8 / 8,2,yoxdur,"Bakı şəhəri, Azadlıq pr. "
108 000,Yeni tikili,4 / 12,2,var,"Bakı şəhəri, Bəhruz Nuriyev k.x"
98 000,Köhnə tikili,4 / 5,3,var,"Bakı şəhəri, Yusif Eyvazov küç."
270 000,Köhnə tikili,2 / 5,3,var,"Bakı şəhəri, Lermontov küç."
215 000,Yeni tikili,10 / 17,3,var,"Bakı şəhəri,  Ceyhun Hacıbəyli 19"
58 000,Köhnə tikili,4 / 5,1,var,"Bakı şəhəri, Cəmşid Naxçıvanski küç. "
170 000,Yeni tikili,11 / 12,3,yoxdur,"Bakı şəhəri, Dadaş Bünyadzadə küç."
220 000,Yeni tikili,7 / 12,3,var,"Bakı şəhəri, Abdulvahab Salamzadə küçəsi 54"
230 000,Yeni tikili,14 / 19,4,var,"Bakı şəhəri, Şərifzadə 123a"
149 000,Yeni tikili,16 / 17,3,yoxdur,"Bakı şəhəri, M.Hadi küçəsi"
220 000,Yeni tikili,2 / 17,3,var,"Bakı şəhəri, Abbas Şərifzadə 56"
75 000,Köhnə tikili,2 / 5,2,var,"Bakı şəhəri, Elşən Süleymanov küçəsi "
950 000,Yeni tikili,8 / 33,3,var,"Bakı şəhəri, Üzeyir Hacıbəyov küçəsi"
128 000,Köhnə tikili,6 / 6,3,var,"Bakı şəhəri, Dilarə Əliyeva küçəsi"
178 000,Yeni tikili,4 / 14,3,var,"Bakı şəhəri,  Nəcəf Nərimanov küçəsi"
112 000,Köhnə tikili,2 / 9,3,var,"Bakı şəhəri, E.Əliyev küç"
217 000,Köhnə tikili,4 / 4,3,var,"Bakı şəhəri, Səməd Vurğun küçəsi "
233 000,Yeni tikili,3 / 7,2,yoxdur,"Bakı şəhəri, Fəvvarələr 1 küçəsi"
62 400,Yeni tikili,6 / 15,1,yoxdur,"Sumqayıt şəhəri, Bulvar küçəsi"
87 000,Yeni tikili,16 / 17,2,var,"Bakı şəhəri, Məhəmməd Hadi küç"
295 000,Yeni tikili,2 / 18,3,var,"Bakı şəhəri, Əhməd Rəcəbli küç."
87 500,Köhnə tikili,9 / 9,3,var,"Bakı şəhəri, Gəncə pr"
150 000,Yeni tikili,15 / 17,2,yoxdur,"Bakı şəhəri, Əliyar Əliyev 12"
65 000,Yeni tikili,2 / 4,2,yoxdur,"Bakı şəhəri, Mədən küç."
310 000,Köhnə tikili,2 / 5,3,var,"Bakı şəhəri, пр. Нефтяников"
177 400,Yeni tikili,6 / 16,2,yoxdur,"Bakı şəhəri, Azadlıq prospekti"
325 000,Yeni tikili,13 / 17,3,var,"Bakı şəhəri, Bakıxanov küç."
75 000,Yeni tikili,2 / 16,2,var,"Xırdalan şəhəri, Heydər Əliyev 230"
94 000,Köhnə tikili,4 / 9,2,var,"Bakı şəhəri, Mircəlal küç 23ev 39"
240 000,Yeni tikili,6 / 17,3,var,"Bakı şəhəri, Ə.Əliyev küçəsi"
210 000,Yeni tikili,14 / 16,3,var,"Bakı şəhəri, Təbriz küçəsi"
215 000,Yeni tikili,17 / 19,3,var,"Bakı şəhəri, Əliyar Əliyev küç 46"
85 000,Yeni tikili,3 / 16,4,var,"Xırdalan şəhəri, H.Əliyev pr."
175 000,Yeni tikili,11 / 16,2,var,"Bakı şəhəri, Cavadxan küç"
390 000,Yeni tikili,13 / 20,3,yoxdur,"Bakı şəhəri, Həsən Məcidov küçəsi"
149 500,Köhnə tikili,5 / 5,3,var,"Bakı şəhəri, T. Abbasov bina 43 m 10"
255 000,Yeni tikili,23 / 24,5,var,"Bakı şəhəri,  Fəzail Bayramov küç"
136 000,Yeni tikili,5 / 19,2,var,"Bakı şəhəri, Vaqif küç"
219 000,Yeni tikili,16 / 18,3,var,"Bakı şəhəri, Abbas Mirzə Şərifzadə küçəsi "
380 000,Yeni tikili,12 / 17,4,yoxdur,"Bakı şəhəri, Ə.Əliyev küç"
146 000,Yeni tikili,2 / 17,3,var,"Bakı şəhəri, Qara Qarayev pr"
360 000,Yeni tikili,13 / 15,3,var,"Bakı şəhəri, İnşaatçılar pr. "
255 000,Yeni tikili,4 / 20,3,var,"Bakı şəhəri, Kövkəb Səfərəliyeva küç. 22"
180 000,Yeni tikili,10 / 19,3,var,"Bakı şəhəri, Məhəmməd Hadi küçəsi"
370 000,Yeni tikili,4 / 16,4,var,"Bakı şəhəri, M.Qaşqay küç. 55"
70 000,Yeni tikili,7 / 9,3,var,"Bakı şəhəri, Istiqlaliyyət küç."
58 000,Köhnə tikili,1 / 5,1,var,"Bakı şəhəri, Qabil Süleymanov küç."
125 000,Köhnə tikili,8 / 9,2,var,"Bakı şəhəri,  Həsən Əliyev küç"
110 000,Yeni tikili,1 / 16,3,var,"Bakı şəhəri, Mir Cəlal küçəsi "
265 000,Yeni tikili,6 / 18,2,var,"Bakı şəhəri, Zərdabi prospekti"
97 000,Yeni tikili,17 / 17,3,yoxdur,"Bakı şəhəri, Məhəmməd Hadi küçəsi 12"
165 000,Yeni tikili,16 / 19,3,var,"Bakı şəhəri, Xudu Məmmədov küç."
188 000,Yeni tikili,8 / 12,3,yoxdur,"Bakı şəhəri, Dadaş Bünyadzadə k."
181 000,Yeni tikili,16 / 18,4,var,"Bakı şəhəri, Hüseyn Seyidzadə küçəsi"
106 000,Köhnə tikili,5 / 9,2,var,"Bakı şəhəri, Atatürk pr. "
249 000,Yeni tikili,13 / 16,4,var,"Bakı şəhəri, Binəqədi Sossesi"
359 000,Yeni tikili,12 / 18,4,var,"Bakı şəhəri, Şamil Əzizbəyov k."
139 000,Yeni tikili,4 / 17,4,yoxdur,"Bakı şəhəri, Xudu Məmmədov küçəsi"
77 000,Yeni tikili,9 / 20,2,var,"Bakı şəhəri, Moskva prospekti"
97 000,Köhnə tikili,2 / 9,2,var,"Bakı şəhəri, Inşaatçılar pr."
230 000,Yeni tikili,6 / 18,3,var,"Bakı şəhəri, Abdulvahab Salamzadə küç. "
116 000,Yeni tikili,7 / 15,2,var,"Bakı şəhəri, Şövkət Məmmədova küçəsi"
111 000,Köhnə tikili,5 / 5,3,var,"Bakı şəhəri, Mahir Əmirov küçəsi"
82 000,Köhnə tikili,1 / 5,2,var,"Bakı şəhəri, Mir Cəlal küç."
192 000,Yeni tikili,16 / 20,3,var,"Bakı şəhəri, Əliyar Əliyev küç."
380 000,Yeni tikili,12 / 16,4,yoxdur,"Bakı şəhəri, Əliyar Əliyev küçəsi"
89 000,Yeni tikili,7 / 20,2,var,"Bakı şəhəri, Lütfi Zadə küç."
509 000,Yeni tikili,11 / 20,4,var,"Bakı şəhəri, Həsən bəy Zərdabi küçəsi"
170 000,Yeni tikili,17 / 20,3,yoxdur,"Bakı şəhəri, Azadlıq pr, "
420 000,Yeni tikili,12 / 24,4,var,"Bakı şəhəri, Yeryomenko küç 1"
170 000,Yeni tikili,16 / 27,2,yoxdur,"Bakı şəhəri, Tbilisi pr. "
119 000,Köhnə tikili,2 / 9,5,var,"Bakı şəhəri, D massivi"
120 000,Yeni tikili,12 / 17,3,var,"Bakı şəhəri, General Şıxlınski"
80 000,Köhnə tikili,6 / 9,2,var,"Bakı şəhəri, Gəncə pr 59"
139 000,Yeni tikili,5 / 14,2,yoxdur,"Bakı şəhəri, Sakit Qocayev küçəsi"
375 000,Yeni tikili,9 / 18,3,var,"Bakı şəhəri, Mətbuat pr."
73 000,Yeni tikili,6 / 19,2,yoxdur,"Bakı şəhəri, Gəncə pr."
165 000,Köhnə tikili,3 / 9,3,var,"Bakı şəhəri, 8 mkr. bina 22182 m 59"
125 000,Yeni tikili,3 / 17,3,var,"Bakı şəhəri, Zığ yolu"
290 000,Yeni tikili,4 / 16,4,var,"Bakı şəhəri, Fəzail Bayramov küç."
97 000,Yeni tikili,5 / 16,2,var,"Bakı şəhəri, Məhəmməd Hadi küç."
310 000,Yeni tikili,10 / 13,4,var,"Bakı şəhəri, Q.Musabəyov küç."
148 800,Köhnə tikili,3 / 9,3,var,"Bakı şəhəri, Abbas Mirzə Şərifzadə küçəsi "
93 000,Yeni tikili,2 / 21,3,yoxdur,"Bakı şəhəri, Telnov küçəsi "
1 380 000,Yeni tikili,8 / 10,6,var,"Bakı şəhəri, Bakıxanov küç."
389 000,Yeni tikili,16 / 17,3,var,"Bakı şəhəri, Fizuli küç."
245 000,Yeni tikili,11 / 24,3,var,"Bakı şəhəri, Fəzail Bayramov küç."
110 000,Köhnə tikili,5 / 9,2,var,"Bakı şəhəri,  Şəfayət Mehdiyev küç."
94 000,Yeni tikili,3 / 18,2,yoxdur,"Bakı şəhəri, Cavadxan 3A"
140 000,Yeni tikili,13 / 14,2,var,"Bakı şəhəri, Əliyar Əliyev k."
76 000,Köhnə tikili,5 / 5,2,yoxdur,"Bakı şəhəri, Elşən Süleymanov küç. 112"
46 500,Yeni tikili,6 / 7,2,var,"Xırdalan şəhəri, H.Əliyev pr."
80 000,Yeni tikili,12 / 17,2,var,"Bakı şəhəri, General Əliağa Şıxlinski küç"
60 000,Yeni tikili,2 / 11,2,var,"Bakı şəhəri, Abşeron Gənclər Şəhərciyi bina 14 menzil 7"
350 000,Yeni tikili,12 / 18,5,var,"Bakı şəhəri, Mirəli Seyidov küçəsi ev 10, mənzil 37"
207 000,Yeni tikili,12 / 27,3,yoxdur,"Bakı şəhəri, Tbilisi pr. "
88 000,Köhnə tikili,9 / 9,2,var,"Bakı şəhəri, Suleyman Sani Axundov ev 1 V Menzil 26 "
105 000,Yeni tikili,8 / 14,2,yoxdur,"Bakı şəhəri, Özbəkistan küç. "
135 000,Yeni tikili,14 / 16,3,var,"Bakı şəhəri, Mir Cəlal küçəsi"
105 000,Yeni tikili,6 / 17,2,yoxdur,"Bakı şəhəri, Səttar Bəhlulzadə küç, 1"
130 000,Yeni tikili,6 / 17,2,var,"Bakı şəhəri, Bibiheybət yolu 1"
250 000,Yeni tikili,12 / 17,4,yoxdur,"Bakı şəhəri, Qara Qarayev prospekti"
123 000,Yeni tikili,12 / 18,2,var,"Bakı şəhəri, General Şıxlinski küç."
193 000,Yeni tikili,16 / 18,3,var,"Bakı şəhəri, Mir Cəlal küç"
175 000,Yeni tikili,11 / 17,3,yoxdur,"Bakı şəhəri, Köroğlu Rəhimov küçəsi;"
245 000,Yeni tikili,4 / 20,3,var,"Bakı şəhəri, F.Bayramov küç. 37"
135 000,Yeni tikili,20 / 21,3,var,"Bakı şəhəri, Ə.Əhmədov küçəsi"
155 000,Köhnə tikili,7 / 9,5,var,"Bakı şəhəri, Sarayevo küçəsi"
164 900,Yeni tikili,14 / 18,2,var,"Bakı şəhəri, Ə.Əliyev küç."
283 000,Yeni tikili,5 / 20,4,var,"Bakı şəhəri, Sabit Orucov küçəsi."
116 000,Yeni tikili,17 / 23,2,yoxdur,"Bakı şəhəri, Həsən Əliyev küç."
186 000,Yeni tikili,7 / 19,3,var,"Bakı şəhəri, Şərifzadə küç"
172 000,Yeni tikili,8 / 17,3,var,"Bakı şəhəri, Azadliq pr"
188 000,Yeni tikili,2 / 16,4,var,"Bakı şəhəri,  Ramiz Quliyev kucesi"
158 000,Yeni tikili,13 / 16,2,var,"Bakı şəhəri, A.Nemətulla k"
107 000,Yeni tikili,15 / 18,2,var,"Bakı şəhəri, Tofiq Məmmədov küç."
173 000,Köhnə tikili,6 / 6,3,var,"Bakı şəhəri, Dilarə Əliyeva Küçəsi 249"
230 000,Yeni tikili,5 / 17,4,yoxdur,"Bakı şəhəri, Həsən bəy Zərdabi küçəsi"
225 000,Yeni tikili,10 / 11,3,var,"Bakı şəhəri, 20.Yanvar küç"
320 000,Yeni tikili,16 / 17,5,yoxdur,"Bakı şəhəri, Həsən Əliyev və Mirəli Qaşqay küçələrinin kəsişməsi"
315 000,Yeni tikili,4 / 16,4,var,"Bakı şəhəri, Hüseyn Cavid prospekti"
230 000,Yeni tikili,15 / 17,3,var,"Bakı şəhəri, Təbriz küç."
84 000,Köhnə tikili,9 / 9,3,var,"Bakı şəhəri, M.Hadi 89 "
870 000,Yeni tikili,11 / 12,5,var,"Bakı şəhəri, Bakıxanov küçəsi"
175 000,Yeni tikili,7 / 7,4,var,"Bakı şəhəri, İlqar Zülfüqarov küçəsi"
267 200,Yeni tikili,11 / 17,4,yoxdur,"Bakı şəhəri, Yusif Səfərov küçəsi"
390 000,Yeni tikili,4 / 18,4,var,"Bakı şəhəri, Abay Kunanbayev küç."
78 000,Yeni tikili,5 / 17,2,yoxdur,"Bakı şəhəri, Neapol küç."
550 000,Yeni tikili,13 / 13,4,var,"Bakı şəhəri, Xəqani küçəsi 21"
204 600,Yeni tikili,10 / 17,3,yoxdur,"Bakı şəhəri, Xan Şuşinski küç "
80 000,Yeni tikili,12 / 16,2,var,"Bakı şəhəri, General Şıxlinski küç."
230 000,Yeni tikili,11 / 14,4,var,"Bakı şəhəri, Məhəmməd Hadi küçəsi"
102 000,Köhnə tikili,2 / 9,3,var,"Bakı şəhəri, Məhəmməd Hadi küç."
133 000,Yeni tikili,8 / 16,3,yoxdur,"Bakı şəhəri, Mir Cəlal Küç."
110 900,Yeni tikili,9 / 10,2,var,"Bakı şəhəri, Mirmahmud Kazımovski küç."
370 000,Yeni tikili,4 / 17,4,var,"Bakı şəhəri, Mirəli Qaşqay küçəsi 55"
153 000,Yeni tikili,4 / 12,3,var,"Sumqayıt şəhəri, Bulvar k."
115 000,Yeni tikili,12 / 17,2,var,"Bakı şəhəri, Əsəd Əhmədov.küç"
272 000,Yeni tikili,6 / 16,3,yoxdur,"Bakı şəhəri, Təbriz küçəsi ev 92"
155 000,Yeni tikili,5 / 8,3,yoxdur,"Bakı şəhəri, Həsən Əliyev küçəsi"
67 000,Köhnə tikili,4 / 5,2,var,"Sumqayıt şəhəri, Heydər Əliyev pr."
107 000,Köhnə tikili,2 / 4,2,var,"Bakı şəhəri, Özbəkistan küç. "
54 000,Yeni tikili,3 / 6,2,yoxdur,"Xırdalan şəhəri, Heydər Əliyev prospekti"
285 000,Yeni tikili,2 / 5,3,var,"Bakı şəhəri, Əhəd Yagubov 52C "
153 000,Yeni tikili,6 / 17,3,var,"Bakı şəhəri, Məhəmməd Hadi küç"
115 500,Yeni tikili,8 / 15,2,var,"Bakı şəhəri, İ.Zülfüqarov küç."
247 000,Yeni tikili,10 / 17,3,var,"Bakı şəhəri, Təbriz küç."
155 000,Yeni tikili,5 / 18,3,var,"Bakı şəhəri, Zərdabi pr."
50 000,Köhnə tikili,2 / 5,2,var,"Gəncə şəhəri, Dədə Qorqud küç. 50 B"
92 000,Köhnə tikili,4 / 5,3,var,"Bakı şəhəri, Hüseynbala Əliyev küçəsi "
515 000,Yeni tikili,10 / 20,3,var,"Bakı şəhəri, 8 noyabr prospekti"
135 000,Yeni tikili,18 / 19,2,yoxdur,"Bakı şəhəri, Gəncə pr"
97 000,Yeni tikili,5 / 17,2,var,"Bakı şəhəri, Babək  pr 24/76"
621 000,Yeni tikili,10 / 19,4,var,"Bakı şəhəri, Nizami küç 123"
185 000,Yeni tikili,9 / 16,3,yoxdur,"Bakı şəhəri, Ceyhun Səlimov küç"
210 000,Köhnə tikili,5 / 9,5,var,"Bakı şəhəri, Hidayətzadə küç. 7/23"
185 000,Köhnə tikili,8 / 12,3,var,"Bakı şəhəri, Dilarə Əliyeva 25 küç."
360 000,Yeni tikili,15 / 16,5,var,"Bakı şəhəri, Məhəmməd Hadi küçəsi "
93 000,Yeni tikili,3 / 5,2,var,"Bakı şəhəri, A.Abbasov küç."
162 000,Yeni tikili,8 / 16,3,var,"Bakı şəhəri, Şərifzadə küç."
127 000,Yeni tikili,3 / 17,3,var,"Bakı şəhəri, Gəncə pr 15"
850 000,Yeni tikili,12 / 16,6,var,"Bakı şəhəri, İsmayıl Bəy Qutqaşinli küçəsi 7"
157 950,Yeni tikili,3 / 17,3,yoxdur,"Bakı şəhəri, Əlif Hacıyev küç."
128 000,Yeni tikili,2 / 18,3,var,"Bakı şəhəri, Məhəmməd Hadi küçəsi"
68 000,Köhnə tikili,3 / 7,3,var,"Bakı şəhəri, İlqar Əhlimanov küç."
76 000,Köhnə tikili,7 / 9,2,var,"Bakı şəhəri, Əsəd Əhmədov küçəsi"
86 000,Yeni tikili,4 / 14,2,yoxdur,"Bakı şəhəri, Abay kunanbayev küç"
91 000,Köhnə tikili,1 / 5,2,var,"Bakı şəhəri, Şərifzadə küçəsi"
1 050 000,Köhnə tikili,1 / 6,4,var,"Bakı şəhəri, İstiqlaliyyət küç 1"
250 000,Yeni tikili,6 / 10,3,var,"Bakı şəhəri, Şərifzadə küç. 104"
165 000,Yeni tikili,15 / 19,2,var,"Bakı şəhəri, A.Ismayılov küç."
46 000,Yeni tikili,5 / 5,2,yoxdur,"Bakı şəhəri, Əziz Əliyev küçəsi, bina 27, mənzil 28"
345 000,Yeni tikili,4 / 10,4,yoxdur,"Bakı şəhəri, Ə.Əlizadə küç.146"
180 000,Yeni tikili,11 / 13,2,var,"Bakı şəhəri, Bakıxanov küç."
229 500,Yeni tikili,18 / 20,4,var,"Bakı şəhəri, Əliyar Əliyev küç."
137 000,Yeni tikili,2 / 16,3,var,"Bakı şəhəri, Xudu Məmmədov küç."
112 000,Yeni tikili,12 / 13,2,var,"Bakı şəhəri, Aşıq Ələsgər küçəsi "
400 000,Yeni tikili,11 / 18,3,var,"Bakı şəhəri, пр Бюль-Бюля"
234 900,Yeni tikili,11 / 17,4,var,"Bakı şəhəri, Ceyhun Səlimov Küçəsi"
93 000,Köhnə tikili,5 / 9,2,var,"Bakı şəhəri, Çemşid Naxçivanskiy 90 "
160 000,Köhnə tikili,1 / 3,3,var,"Bakı şəhəri, Nizami 89 "
270 000,Yeni tikili,12 / 18,3,var,"Bakı şəhəri, Feyzulla Qasımzadə küçəsi"
230 000,Köhnə tikili,5 / 5,3,var,"Bakı şəhəri, Neftçilər pr."
