Qiymet,Kategoriya,Mertebe,Otaq,Kupca,Seher
128 000,Köhnə tikili,8 / 9,3,var,"Bakı şəhəri, Məhəmməd Hadi küçəsi"
160 000,Yeni tikili,10 / 22,2,var,"Bakı şəhəri, Süleyman Vəzirov küç"
215 000,Yeni tikili,8 / 12,3,var,"Bakı şəhəri, Qarabağ küçəsi"
70 000,Yeni tikili,13 / 16,3,var,"Bakı şəhəri, Heydər Əliyev pr."
153 000,Yeni tikili,10 / 17,2,yoxdur,"Bakı şəhəri, Əliyar Əliyev küçəsi "
75 600,Yeni tikili,14 / 17,2,yoxdur,"Bakı şəhəri, Xudu Məmmədov  küç."
114 000,Yeni tikili,8 / 9,3,var,"Bakı şəhəri, Bəhruz Nuriyev küçəsi"
110 000,Yeni tikili,19 / 20,2,yoxdur,"Bakı şəhəri, Gəncə pr."
233 500,Yeni tikili,8 / 14,3,var,"Bakı şəhəri, Təbriz küç."
159 000,Yeni tikili,2 / 16,3,var,"Bakı şəhəri, Rüstəm Rüstəmov küç."
230 000,Yeni tikili,4 / 17,3,var,"Bakı şəhəri, Süleyman Rüstəm küçəsi"
294 500,Yeni tikili,8 / 9,5,yoxdur,"Bakı şəhəri, Həsən Əliyev küç."
173 000,Yeni tikili,5 / 23,2,yoxdur,"Bakı şəhəri, Sakit Qocayev küçəsi"
102 000,Köhnə tikili,9 / 9,2,var,"Bakı şəhəri, Hüseyn Seyidzadə küçəsi "
93 000,Yeni tikili,12 / 20,1,yoxdur,"Bakı şəhəri, Nəcəfqulu Rəfiyev küçəsi"
103 000,Köhnə tikili,1 / 9,3,var,"Bakı şəhəri, N. Tusi küç."
169 000,Yeni tikili,2 / 16,3,var,"Bakı şəhəri, Qara Qarayev küç"
220 000,Yeni tikili,13 / 27,3,var,"Bakı şəhəri, A.Salamzade 1055"
137 000,Yeni tikili,8 / 14,2,yoxdur,"Bakı şəhəri, Özbəkistan küç. "
85 000,Köhnə tikili,4 / 5,1,var,"Bakı şəhəri, Tbilisi pr. "
235 000,Yeni tikili,10 / 16,4,var,"Bakı şəhəri, C.Səlimov küçəsi"
185 000,Yeni tikili,8 / 18,2,var,"Bakı şəhəri, Naxçıvani küç."
97 000,Yeni tikili,11 / 17,3,yoxdur,"Bakı şəhəri, Telnov küçəsi"
120 000,Köhnə tikili,2 / 5,3,var,"Bakı şəhəri, Şərifzadə küç.22"
217 800,Yeni tikili,7 / 16,3,yoxdur,"Bakı şəhəri, M. Qaşqay küç"
165 000,Yeni tikili,11 / 12,3,var,"Bakı şəhəri, Əsəd Əhmədov küç."
75 000,Yeni tikili,4 / 17,1,var,"Bakı şəhəri, Özbəkistan küç."
185 000,Yeni tikili,3 / 17,2,yoxdur,"Bakı şəhəri, Zahid Xəlilov küç. 568-48"
162 500,Yeni tikili,4 / 14,3,yoxdur,"Bakı şəhəri, Özbəkistan küç"
105 000,Köhnə tikili,5 / 5,3,var,"Bakı şəhəri, R.Axundov küç."
285 000,Yeni tikili,10 / 16,3,var,"Bakı şəhəri, Yusif Vəzir Çəmənzəminli küçəsi ev 75"
